frame_id,component_id,node_cov_wmean,node_cov_wmedian,node_cov_wtrimmed,node_cov_ivw_meta,node_cov_wstd,node_cov_p10,node_cov_p50,node_cov_p90,n_proteins,mean_dup_rate,mean_graph_size,sum_graph_size
0,0,0.8279816513761468,0.8333333333333334,0.8251928020565553,0.8221484774216937,0.014106026754879483,0.8130612244897959,0.8333333333333334,0.8396005210594877,9,0.24318658280922426,48.44444444444444,436
0,5,0.4151376146788991,0.4166666666666667,0.4134366925064599,0.4168072160498593,0.008376735280974186,0.40653061224489795,0.4166666666666667,0.42613981762917935,9,0.042328042328042374,48.44444444444444,436
0,1,0.41284403669724773,0.4166666666666667,0.41131105398457585,0.4145724378492016,0.007077705024500411,0.40653061224489795,0.4166666666666667,0.41843971631205673,9,0.0,48.44444444444444,436
1,1,0.41284403669724773,0.4166666666666667,0.41131105398457585,0.4145724378492016,0.007077705024500411,0.40653061224489795,0.4166666666666667,0.41843971631205673,9,0.0,48.44444444444444,436
1,5,0.41284403669724773,0.4166666666666667,0.41131105398457585,0.4145724378492016,0.007077705024500411,0.40653061224489795,0.4166666666666667,0.41843971631205673,9,0.0,48.44444444444444,436
0,2,0.08256880733944955,0.08333333333333333,0.08226221079691516,0.09098808095437315,0.0014155410049000823,0.08130612244897958,0.08333333333333333,0.08368794326241134,9,0.0,48.44444444444444,436
1,2,0.08256880733944955,0.08333333333333333,0.08226221079691516,0.09098808095437315,0.0014155410049000823,0.08130612244897958,0.08333333333333333,0.08368794326241134,9,0.0,48.44444444444444,436
0,3,0.08256880733944955,0.08333333333333333,0.08226221079691516,0.09098808095437315,0.0014155410049000823,0.08130612244897958,0.08333333333333333,0.08368794326241134,9,0.0,48.44444444444444,436
1,3,0.08256880733944955,0.08333333333333333,0.08226221079691516,0.09098808095437315,0.0014155410049000823,0.08130612244897958,0.08333333333333333,0.08368794326241134,9,0.0,48.44444444444444,436
0,4,0.08256880733944955,0.08333333333333333,0.08226221079691516,0.09098808095437315,0.0014155410049000823,0.08130612244897958,0.08333333333333333,0.08368794326241134,9,0.0,48.44444444444444,436
1,4,0.08256880733944955,0.08333333333333333,0.08226221079691516,0.09098808095437315,0.0014155410049000823,0.08130612244897958,0.08333333333333333,0.08368794326241134,9,0.0,48.44444444444444,436
2,5,0.08256880733944955,0.08333333333333333,0.08226221079691516,0.09098808095437315,0.0014155410049000823,0.08130612244897958,0.08333333333333333,0.08368794326241134,9,0.0,48.44444444444444,436
